ZIP	latitude	longitude	STATE
00012	40.2487	-120.959	CA
00014	32.1846	-113.026	AZ
00015	32.3739	-110.657	AZ
00016	35.51	-118.357	CA
00017	37.1711	-118.929	CA
00018	34.6121	-119.08	CA
00019	40.8317	-120.319	CA
00020	37.5979	-119.275	CA
00022	39.4535	-123.61	CA
00026	36.2504	-118.463	CA
00027	38.8827	-104.974	CO
00028	40.0043	-120.886	CA
00029	39.4791	-121.11	CA
00031	40.3773	-121.131	CA
00032	34.7564	-119.776	CA
00033	39.5464	-120.27	CA
00034	41.9439	-123.184	CA
00035	41.4665	-121.796	CA
00037	40.0688	-122.751	CA
00038	40.143	-121.711	CA
00039	40.328	-123.177	CA
00040	37.9785	-119.614	CA
00041	26.1628	-80.6161	FL
00042	27.9968	-80.7936	FL
00043	25.5797	-80.6947	FL
00044	38.5173	-119.831	CA
00045	29.094	-81.7347	FL
00047	39.6296	-122.734	CA
00048	39.3271	-122.809	CA
00049	41.5655	-123.774	CA
00050	41.2223	-123.617	CA
00051	38.8961	-120.365	CA
00052	38.6543	-120.301	CA
00053	26.476	-80.5571	FL
00054	40.9563	-123.771	CA
00055	40.9758	-123.249	CA
00056	43.2416	-116.188	ID
00057	33.9953	-119.944	CA
00058	37.6615	-119.57	CA
00059	48.408	-92.7802	MN
00060	48.117	-92.1379	MN
00061	33.2476	-119.505	CA
00063	47.6703	-111.332	MT
00064	35.6742	-106.948	NM
00065	39.6392	-120.81	CA
00066	32.7371	-106.524	NM
00067	34.731	-98.6112	OK
00068	44.1908	-123.906	OR
00069	43.8511	-122.271	OR
00070	45.0892	-121.983	OR
00071	40.0335	-111.369	UT
00072	48.8168	-121.36	WA
00073	46.5168	-119.533	WA
00074	46.2379	-120.922	WA
00075	44.938	-110.792	MT
00076	48.8402	-120.409	WA
00077	44.4549	-122.208	OR
00078	44.3057	-111.073	ID
00082	44.9817	-72.2188	VT
00083	40.7824	-73.9656	NY
00084	34.8891	-77.4217	NC
00087	27.7402	-80.7496	FL
00097	25.6499	-81.0579	FL
00098	25.3188	-81.0264	FL
00100	40.7121	-111.726	UT
00116	29.5606	-91.8688	LA
00119	29.0829	-90.3992	LA
00120	29.0507	-90.7976	LA
00121	29.1015	-89.1787	LA
00122	29.8798	-88.8463	LA
00125	46.825	-69.2008	ME
00126	45.2991	-70.6431	ME
00127	44.9393	-68.1441	ME
00128	45.1575	-70.9503	ME
00130	45.6559	-68.6861	ME
00132	46.1026	-69.9841	ME
00133	45.3806	-70.2742	ME
00134	45.0507	-67.8523	ME
00135	46.0282	-69.2536	ME
00137	46.378	-68.1877	ME
00138	45.9049	-68.1132	ME
00139	44.7994	-70.6085	ME
00140	45.1285	-70.356	ME
00141	45.2785	-68.261	ME
00145	45.3467	-69.7892	ME
00147	44.9809	-70.3795	ME
00148	46.9372	-68.4245	ME
00151	44.9136	-67.4589	ME
00152	38.1508	-75.181	MD
00157	42.3185	-71.0019	MA
00158	41.5782	-69.993	MA
00159	41.2558	-70.8151	MA
00160	47.9465	-90.7457	MN
00161	48.0093	-91.4014	MN
00164	48.4523	-95.4069	MN
00165	48.535	-95.0079	MN
00166	48.2104	-95.0502	MN
00168	44.2908	-71.1202	NH
00169	44.5125	-71.0774	NH
00170	44.9132	-71.1071	NH
00172	44.1256	-71.3336	NH
00173	44.2051	-71.3369	NH
00174	44.2229	-71.3769	NH
00176	44.2189	-71.3008	NH
00177	44.2608	-71.2452	NH
00179	44.2613	-71.3587	NH
00180	44.3013	-71.292	NH
00181	44.3229	-71.3653	NH
00182	44.2627	-71.4016	NH
00183	44.2987	-71.2216	NH
00184	44.3255	-71.2184	NH
00185	44.5283	-71.3851	NH
00186	44.8008	-71.344	NH
00187	44.9128	-71.1928	NH
00188	27.1333	-97.334	TX
00190	44.922	-71.9129	VT
00191	44.9113	-71.8759	VT
00192	44.8664	-71.7504	VT
00195	46.4502	-123.967	WA
00197	32.8091	-112.718	AZ
00199	33.9604	-111.896	AZ
01001	42.0638	-72.6232	MA
01007	42.2788	-72.4007	MA
01008	42.1862	-72.9568	MA
01011	42.2766	-72.9973	MA
01012	42.3622	-72.8246	MA
01013	42.1598	-72.6081	MA
